word1, word2, weight
delicious, cake, 8
thirsty, throat, 1
cake, birthday, 20
layers, cake, 48
throat, slide, 2
throat, slippy, 1
birthday, party, 48
frat, party, 33
feather, light, 61
throat, deep, 45
cake, bake, 13
party, fun, 15
horrible, dream, 1
bree, cheese, 42
light, dark, 85
dream, flying, 2
wind, break, 6
goat, cheese, 40
throat, scratch, 2
french, cheese, 1
break, down, 12
summer, day, 2
party, hat, 4
strep, throat, 115
dream, sequence, 2
tupperware, party, 32
ice, break, 2
dream, subconscious, 2
party, animal, 22
light, space, 1
cheese, doodle, 1
light, bulb, 27
melt, cheese, 35
smash, break, 18
party, slumber, 1
plot, line, 7
block, party, 32
throat, swallow, 3
rice, cake, 15
heavy, light, 35
bake, cake, 85
surprise, party, 72
day, walker, 1
dark, light, 75
line, item, 2
cake, icing, 12
shadow, light, 17
baste, cake, 1
lava, cake, 2
line, rider, 4
paragraph, break, 1
break, record, 1
cookie, cake, 4
carrot, cake, 25
diffuse, light, 10
year, light, 2
looser, sore, 1
labor, party, 13
day, school, 1
party, century, 1
may, day, 12
snow, day, 2
bright, spot, 3
stack, cake, 1
dream, job, 1
cheese, sandwich, 6
break, shatter, 2
winner, loser, 204
bones, break, 10
time, line, 3
day, night, 134
salvation, light, 2
throat, trout, 1
ink, spot, 4
shatter, break, 69
slumber, party, 101
line, give, 1
fluffy, light, 2
pipe, line, 15
across, line, 1
horse, throat, 1
icing, cake, 154
beacon, light, 65
refract, light, 40
sore, muscle, 5
throat, sore, 39
queue, line, 101
fruit, cake, 5
spot, out, 1
clothing, line, 8
deep, throat, 22
dream, sleep, 51
cheese, swiss, 10
break, innovation, 1
trace, line, 7
night, day, 84
years, light, 7
wig, party, 3
dissent, political, 2
line, cross, 6
swiss, cheese, 139
cheese, stinky, 1
accelerator, break, 3
turkey, day, 2
fault, line, 36
political, campaign, 5
bulb, light, 170
die, light, 1
yellow, light, 1
diet, light, 1
jam, cheese, 1
spectrum, light, 28
throat, cut, 13
sore, foot, 3
dream, lucid, 5
month, day, 35
day, time, 9
itchy, sore, 4
electricity, light, 15
not, dream, 1
inspiring, light, 6
chocolate, cake, 36
line, dance, 10
coke, line, 1
lite, light, 30
cake, frosting, 5
imagination, dream, 9
signal, light, 22
moon, light, 3
spot, on, 24
bend, break, 30
dream, theater, 2
break, enter, 1
bombshell, suprise, 2
dam, break, 3
fragile, break, 19
crab, cake, 14
finish, line, 46
ephemeral, dream, 2
wedding, cake, 24
tomorrow, day, 10
enlightenment, light, 5
lovely, day, 11
form, line, 2
fault, break, 2
political, party, 16
president, loser, 2
condom, break, 3
bastille, cake, 1
pay, day, 39
costume, party, 70
throat, neck, 17
party, favors, 1
e, party, 1
light, bright, 17
bright, light, 81
spot, dog, 69
dream, imagine, 2
cheese, head, 6
loser, beck, 17
pound, cake, 22
brightness, light, 52
outing, day, 3
wine, cheese, 23
underground, party, 3
cherry, cake, 1
candle, light, 61
stressful, day, 16
relativity, light, 2
cup, cake, 6
muffin, cake, 21
print, line, 1
lamp, light, 89
bread, cake, 1
line, form, 1
throat, culture, 2
melts, cheese, 22
sore, blister, 2
cake, pie, 9
spot, zit, 2
darkness, light, 58
swiss, switzerland, 5
political, machine, 1
stiff, sore, 8
pizza, party, 5
labour, party, 27
bastille, day, 35
fix, break, 21
birthday, day, 2
wait, line, 2
glare, light, 6
light, beam, 1
break, pause, 1
cheese, monger, 1
swiss, miss, 8
loser, weight, 2
extreme, dream, 1
political, fiction, 1
lightbulb, light, 24
cake, vanilla, 2
sore, ass, 8
wish, dream, 15
made, cheese, 1
gleam, light, 7
cheese, cake, 14
garden, party, 5
dream, wet, 4
leisure, break, 1
layer, cake, 95
subject, line, 2
bottom, line, 6
line, bow, 1
vacation, spot, 7
fries, cheese, 2
mirror, cake, 1
night, party, 2
ship, line, 1
yummy, cake, 5
crush, break, 1
violet, light, 1
restaurant, cake, 1
kettle, spot, 1
part, party, 3
political, ad, 1
keg, party, 16
neutral, swiss, 3
throat, singer, 2
slice, cheese, 12
break, habit, 1
dream, on, 9
loser, ryan, 1
checkers, cheese, 3
wound, light, 1
dense, light, 4
political, satire, 1
soy, cake, 1
sore, cold, 10
breaker, light, 3
bud, light, 47
chum, line, 1
party, hard, 7
spot, shot, 1
break, prison, 4
swiss, cuckoo, 1
loser, dork, 4
draw, line, 4
dick, cheese, 2
beef, cake, 14
mob, party, 1
fog, light, 3
brigade, light, 10
tasty, cheese, 6
line, ride, 1
grating, cheese, 75
eating, cake, 6
lose, loser, 10
cake, drugs, 1
party, house, 7
translucent, light, 10
light, house, 6
batter, cake, 45
dream, boat, 4
pause, break, 12
bridal, party, 4
cyst, break, 1
sore, bed, 3
break, dance, 11
shadows, light, 18
crumble, break, 7
ruin, break, 4
waffle, cake, 6
slacker, loser, 6
earth, day, 4
frosting, cake, 102
cake, walk, 8
party, birthday, 2
switch, light, 35
sunshine, light, 6
cracker, cheese, 10
cough, throat, 6
neck, break, 5
loser, winner, 62
cheese, dairy, 1
coffee, cake, 2
day, light, 6
private, party, 6
hope, dream, 8
piece, cake, 22
geneva, swiss, 4
cake, cheese, 2
party, time, 16
light, years, 1
dream, unrealistic, 2
healing, light, 2
spread, cheese, 3
cake, eat, 16
county, line, 7
party, republican, 2
break, law, 1
loser, scores, 1
birth, day, 33
funnel, cake, 76
brake, line, 2
vertical, line, 11
horizontal, line, 17
political, government, 3
line, strait, 1
throat, mouth, 8
nightmare, dream, 62
break, off, 2
loser, grump, 1
wedge, cheese, 19
cold, day, 1
forever, day, 1
training, day, 33
lucid, dream, 53
bikini, line, 13
cut, throat, 10
relief, party, 1
angle, line, 1
reef, loser, 1
debate, political, 8
reflect, light, 11
ireland, cheese, 1
afternoon, day, 11
thumb, sore, 1
loser, bruce, 1
swiss, knife, 16
neck, throat, 9
break, kitkat, 2
cheese, please, 2
pathetic, loser, 21
activity, party, 1
bean, cake, 1
family, day, 1
victor, loser, 12
blog, spot, 2
please, cheese, 1
stars, light, 2
line, square, 2
goer, loser, 1
spot, black, 1
labor, day, 30
bakery, cake, 18
baked, cake, 22
line, tangent, 1
pizza, cheese, 17
danish, cheese, 20
flesh, light, 5
host, party, 15
roll, cheese, 2
chunk, cheese, 8
straight, line, 21
mummy, cake, 1
sauce, cheese, 2
political, correct, 6
line, fast, 1
point, break, 6
keys, cheese, 1
birthday, cake, 30
damage, break, 9
herpes, sore, 2
tired, sore, 2
tight, light, 2
busy, day, 1
crack, break, 3
dream, love, 3
break, lunch, 4
trunk, line, 1
burning, light, 1
sun, spot, 2
day, arise, 1
shining, light, 22
border, line, 39
color, light, 4
victim, loser, 2
christmas, day, 4
line, backer, 2
political, rally, 1
source, light, 1
shade, light, 9
incline, line, 1
make, break, 10
political, egotistical, 1
eater, cake, 1
nice, dream, 2
snowflake, cake, 1
cake, cookie, 2
party, people, 4
lunch, break, 16
order, line, 3
zesty, cheese, 4
break, up, 22
dream, about, 2
hook, line, 14
cheese, wheel, 6
reception, party, 9
butter, cheese, 4
throat, sour, 1
rule, break, 9
join, party, 5
wonderful, day, 3
cooking, light, 3
finder, loser, 5
pimple, spot, 23
night, dream, 1
political, pundit, 1
hope, light, 3
wet, dream, 13
holes, cheese, 7
natural, light, 3
spot, run, 10
dim, light, 59
on, light, 2
dream, cloud, 7
rodent, cheese, 1
beer, light, 2
tardis, spot, 1
cunts, cheese, 1
lime, light, 7
ruin, day, 1
asleep, dream, 12
alot, cheese, 1
trainer, loser, 1
aw, sore, 1
line, fish, 2
front, line, 3
overhead, light, 3
sore, pain, 11
party, down, 4
destruction, break, 3
brite, light, 15
beam, light, 65
constipated, cheese, 2
rake, cake, 1
crumble, cake, 14
off, light, 3
pooper, party, 23
ray, light, 19
political, lacan, 1
doer, loser, 2
eye, sore, 3
cake, donut, 1
hey, day, 2
green, day, 7
scratchy, throat, 15
songs, party, 2
mouse, cheese, 7
wave, light, 3
ikea, break, 1
political, scandals, 1
quicksort, cheese, 1
baker, cake, 8
habit, break, 7
imagine, dream, 29
dip, cheese, 4
party, bachelor, 1
fiesta, party, 105
spot, rover, 1
rome, day, 2
dream, weaver, 5
cheese, string, 2
swiss, army, 13
improv, spot, 1
line, cocaine, 6
spot, penalty, 1
antoinette, cake, 4
break, balls, 1
prison, break, 54
fools, day, 4
pool, party, 16
day, break, 5
acne, spot, 11
indent, break, 1
projector, light, 16
fire, light, 5
whip, cheese, 1
sore, score, 3
bachelor, party, 39
punch, line, 8
green, light, 7
slice, cake, 14
spot, light, 12
spot, light, 12
worker, loser, 1
maccaroni, cheese, 37
break, broken, 4
clothes, line, 5
g, spot, 11
sight, sore, 2
baking, cake, 34
mysterious, light, 1
code, break, 3
surreal, dream, 5
political, nuisance, 1
unlucky, day, 1
party, on, 5
light, match, 2
ima, loser, 3
break, destroy, 4
use, break, 3
loser, halo, 1
connection, break, 1
moth, light, 8
muffins, cake, 10
picnic, party, 3
cheater, loser, 8
cake, sponge, 4
loser, lost, 6
cheese, keese, 1
unexpected, suprise, 12
shore, line, 26
stringy, cheese, 76
political, debate, 5
circuit, party, 1
line, dry, 1
ham, cheese, 34
bust, break, 5
laser, light, 11
fail, loser, 3
nachos, cheese, 116
rider, line, 2
course, dream, 1
potato, cheese, 3
break, fix, 6
thinner, line, 1
blob, spot, 1
bulbs, light, 179
throat, cough, 8
pie, cake, 15
day, garden, 1
cloudy, day, 54
faint, line, 1
lump, throat, 10
suprise, shock, 14
stream, line, 6
records, break, 2
groundhog, day, 145
huzzah, party, 3
foam, party, 12
throat, trap, 1
festival, party, 41
graph, cake, 1
therapy, loser, 1
pastries, cake, 11
disposable, cheese, 1
series, line, 2
candles, cake, 1
bagel, cheese, 5
every, day, 80
mmmm, cake, 1
throat, slit, 5
brittle, break, 12
dream, jordan, 1
hours, day, 3
loser, faggot, 1
bagle, cheese, 4
suprise, yell, 2
subconscious, dream, 5
lit, light, 20
monster, party, 2
line, shortcut, 1
theater, dream, 4
dweeb, loser, 9
calender, day, 15
modern, day, 11
brilliant, light, 3
cake, chocolate, 12
chum, loser, 1
attic, light, 1
party, rave, 1
loser, me, 21
rules, break, 11
poser, loser, 22
hawaii, light, 1
patch, spot, 3
fever, party, 3
viagra, party, 1
sore, bruise, 2
freak, loser, 1
shaker, party, 1
grid, line, 4
trumpet, loser, 1
beach, party, 7
mac, cheese, 17
failure, loser, 12
parts, cheese, 1
independence, day, 110
hot, day, 1
reggae, party, 1
friday, party, 4
entertainment, day, 1
holder, loser, 1
party, political, 2
sparkle, light, 8
break, beak, 1
fine, line, 4
cheese, burger, 7
swiss, bankaccount, 1
strait, line, 1
succubus, dream, 2
vow, break, 2
career, day, 5
quart, cake, 1
dot, spot, 9
political, emotional, 1
pastry, cake, 18
central, line, 2
pus, spot, 9
map, line, 1
throat, infection, 2
neon, light, 46
feet, cheese, 1
drop, break, 6
party, balloon, 1
geometry, line, 1
game, loser, 1
torch, light, 76
dream, day, 6
patrick, day, 3
loser, u, 1
edison, light, 15
stain, spot, 6
suprise, mystery, 1
salmon, cake, 2
bytes, cake, 1
street, light, 12
sky, line, 3
sewer, line, 3
longest, day, 10
tonight, party, 9
slim, line, 2
dream, hell, 1
swiss, swedish, 1
cooking, cake, 1
demolish, break, 6
harsh, light, 2
biscuit, cake, 8
beams, light, 51
cheese, wine, 4
gland, throat, 5
sti, sore, 1
glow, light, 20
futon, loser, 1
political, figure, 2
line, song, 1
week, day, 56
college, party, 3
saucer, cheese, 1
rave, party, 67
allowed, party, 1
loosers, loser, 2
rye, break, 1
break, point, 1
panty, line, 7
crackers, cheese, 42
friction, sore, 1
nights, day, 5
whole, cake, 1
electric, light, 7
dot, line, 6
bash, party, 30
unpopular, loser, 9
labour, day, 10
guacamole, cheese, 5
eat, cake, 4
defeat, loser, 2
chalk, cheese, 13
spot, burger, 1
affordable, dream, 1
break, glass, 7
patty, cake, 76
mon, day, 50
union, day, 1
reject, loser, 10
pipe, dream, 23
looser, loser, 24
charades, party, 1
windy, day, 21
loser, kathy, 1
sprain, break, 6
infection, sore, 6
suprise, pizza, 1
doom, day, 18
dabble, spot, 1
line, coke, 4
panic, party, 1
planner, day, 19
fight, light, 1
plum, cake, 2
break, face, 2
flavoring, cake, 1
quit, loser, 4
glasses, break, 2
hearts, break, 4
relativity, dream, 1
consciousness, dream, 1
candles, light, 33
pore, spot, 6
fuse, light, 13
political, politics, 2
eaten, cake, 2
crime, loser, 1
sleeping, dream, 4
weekend, day, 6
fest, party, 19
tray, party, 1
cuts, throat, 1
goats, cheese, 16
dream, nightmare, 11
hurt, sore, 4
pity, party, 18
frosted, cake, 12
flash, light, 16
yumm, cake, 3
political, wing, 1
reckon, day, 2
regularly, day, 1
tastey, cake, 5
cake, yummie, 1
reflection, light, 2
doo, day, 2
illegal, cheese, 1
mormon, cheese, 1
cow, spot, 2
dream, sparrow, 1
loser, bush, 3
fool, loser, 1
day, sun, 6
lizzy, cheese, 1
phlegm, throat, 10
lan, party, 16
bruise, break, 1
suprise, wow, 4
inspired, dream, 4
blot, spot, 8
political, boring, 2
calendar, day, 17
wench, cake, 1
sore, cancerous, 1
cake, tasty, 2
waist, line, 22
reality, dream, 6
cheeseburger, cheese, 10
flag, day, 3
torture, sore, 1
recognition, dream, 1
cheese, grater, 4
sports, day, 3
fucked, sore, 2
cue, line, 3
drew, line, 1
political, speeches, 1
imply, line, 1
search, light, 3
drizzle, light, 1
sore, loawe, 1
cake, desert, 3
party, girls, 1
light, flash, 2
stinky, cheese, 10
sun, day, 8
agency, spot, 1
mucous, throat, 1
build, break, 3
political, farm, 1
disable, break, 14
trail, line, 1
garlic, cheese, 1
sore, lip, 5
computer, light, 1
dream, mlk, 1
sandwich, cheese, 3
dizzy, day, 1
political, bullshit, 2
line, straight, 29
conservative, party, 5
rally, party, 1
brownies, cake, 11
horrible, day, 5
stripe, line, 11
loser, you, 10
gather, party, 1
soar, sore, 2
polution, light, 1
suprise, party, 48
groove, party, 2
split, cake, 1
pickles, suprise, 1
grateful, cheese, 2
sponge, cake, 6
idea, light, 3
twister, party, 3
riot, party, 6
x, spot, 3
checkout, line, 22
mia, day, 1
beater, cake, 2
pus, sore, 3
bring, cake, 2
thursday, day, 8
myspace, loser, 1
land, line, 2
aged, cheese, 27
light, shadow, 1
traffic, light, 20
loose, loser, 2
ankle, sore, 1
cheese, bread, 2
typical, day, 21
crowd, party, 1
prision, break, 13
stalker, day, 1
shells, cheese, 1
rays, light, 10
deactivation, break, 1
bacon, cheese, 7
lighthouse, light, 14
hacker, loser, 1
organization, political, 1
pavement, line, 1
prick, loser, 1
swiss, chalet, 1
tan, line, 15
coffee, break, 6
chain, break, 2
tot, cheese, 1
ignition, light, 6
noodle, cheese, 1
event, party, 15
moving, day, 10
mold, break, 2
topping, cheese, 2
date, line, 6
news, break, 1
party, bash, 1
trip, day, 3
dream, machine, 3
fine, day, 4
a, day, 1
three, party, 1
vicious, light, 1
political, reterted, 1
sprinkle, cake, 5
gas, light, 3
cheesy, cheese, 11
loser, soccer, 1
cheese, cracker, 1
carefully, break, 1
remember, day, 1
third, party, 3
suprise, supper, 1
property, line, 2
political, science, 6
shitty, day, 23
line, que, 2
bree, break, 1
spot, hot, 4
job, loser, 1
break, glas, 1
lame, loser, 2
macdonalds, cheese, 1
jumping, line, 1
day, dream, 3
black, light, 2
like, cake, 1
supplement, cake, 1
tea, party, 10
socket, light, 10
faster, light, 1
extra, cheese, 3
line, skate, 2
switzerland, cheese, 8
date, day, 4
spot, acne, 4
drugs, party, 1
sees, light, 1
story, line, 6
nights, light, 4
row, line, 2
crooked, line, 3
amber, light, 9
line, drawn, 4
music, party, 1
slit, throat, 34
aluminium, light, 2
foul, spot, 1
cheese, crackers, 6
oxymoron, loser, 1
slash, throat, 1
fool, day, 1
swiss, cheezse, 1
walking, line, 1
curves, line, 2
wire, line, 1
stingy, cheese, 1
sunday, day, 5
thoughts, dream, 2
identical, political, 1
spot, burst, 1
orb, light, 8
razor, light, 3
cheese, smelly, 1
jester, party, 1
cheetos, cheese, 31
name, party, 1
lan, line, 1
direct, line, 7
dessert, cake, 21
pickles, cheese, 2
disadvantage, loser, 2
political, eagle, 1
request, line, 2
fantasy, dream, 16
sore, cut, 1
cocain, line, 1
malfunction, break, 8
liver, spot, 1
break, out, 8
france, cheese, 3
beck, loser, 6
cheese, cream, 2
charger, light, 1
pieces, cake, 6
c, light, 1
suprise, birthday, 19
hooray, party, 7
political, argument, 2
disintegrate, break, 1
mold, cheese, 8
barrier, break, 3
fester, sore, 7
unmoving, loser, 1
sore, high, 1
growl, throat, 1
collector, loser, 1
events, party, 9
cheese, yum, 3
art, light, 1
gnome, party, 1
crumble, cheese, 7
cocktail, party, 12
shitty, party, 1
campaign, party, 1
weekend, party, 16
zit, spot, 16
drum, line, 6
hole, spot, 1
masher, party, 1
political, grim, 1
mm, cheese, 1
melting, cheese, 6
